Designator,Mid X,Mid Y,Rotation,Layer
FPC1,20.25,-145.5,0.0,top
FPC2,20.25,-134.5,180.0,top
U1,54.0,-140.0,90.0,top
U10,72.5,-137.0,180.0,top
U11,78.5,-137.0,180.0,top
U12,122.5,-137.0,180.0,top
U13,128.5,-137.0,180.0,top
U14,172.5,-137.0,180.0,top
U15,178.5,-137.0,180.0,top
U16,222.5,-137.0,180.0,top
U17,228.5,-137.0,180.0,top
U2,228.5,-143.0,0.0,top
U3,222.5,-143.0,0.0,top
U4,178.5,-143.0,0.0,top
U5,172.5,-143.0,0.0,top
U6,128.5,-143.0,0.0,top
U7,122.5,-143.0,0.0,top
U8,78.5,-143.0,0.0,top
U9,72.5,-143.0,0.0,top
